日期,正常费,调整费,紧急费,总费用,紧急电量,未利用供给,日初电量,日末电量,预测方法
2025-07-28,54087.10229579271,0.0,40.27590583333418,54127.378201626045,5.971666666666863,3821.3414492016436,2700.202485201853,2353.043958351852,weekly
2025-07-29,55975.629503108124,0.0,777.6188431191679,56753.248346227294,115.330651666667,7656.855557882493,2353.043958351852,2808.657153350003,weekly
2025-07-30,56057.92201627371,0.0,5.388258728089568e-13,56057.92201627371,1.3500311979441904e-13,10281.617455024218,2808.657153350003,3027.454312424072,weekly
2025-07-31,53744.49611640262,0.0,349.38260001833214,54093.87871642095,51.42164599999987,7192.286348045114,3027.454312424072,2220.838044583332,weekly
2025-08-01,25164.095528189206,0.0,0.0,25164.095528189206,0.0,18554.514189746547,2220.838044583332,2310.646480073838,weekly
2025-08-02,24791.206506791765,0.0,3.409020660026648e-13,24791.206506791765,8.384404417494454e-14,18042.766387608393,2310.646480073838,2486.974836579609,weekly
2025-08-03,50172.381218839895,0.0,709.786366847537,50882.167585687435,105.23077630599698,14282.415613475605,2486.974836579609,1580.3960325945036,weekly
2025-08-04,49055.134544137196,0.0,381.98553333333416,49437.12007747053,56.733333333333604,8245.21713950321,1580.3960325945036,2256.060680910547,weekly
2025-08-05,48545.01838121336,0.0,0.0,48545.01838121336,0.0,7907.847693039886,2256.060680910547,2467.158898602469,weekly
2025-08-06,48028.24610112948,0.0,2547.742342821181,50575.988443950664,365.21535877597216,5221.907563246657,2467.158898602469,1620.2968271904763,weekly
2025-08-07,49420.30624067469,0.0,5.712763595511205e-13,49420.30624067469,2.2737367544323206e-13,9945.678147152219,1620.2968271904763,2355.833897325094,weekly
2025-08-08,24961.861672422467,0.0,0.0,24961.861672422467,0.0,23373.490232231743,2355.833897325094,2471.3436362843813,weekly
2025-08-09,24096.291517137903,0.0,2.494857653800864e-13,24096.291517137903,1.1368683772161603e-13,19175.12361806378,2471.3436362843813,2035.864436740743,weekly
2025-08-10,48026.341185515565,0.0,173.77204250000065,48200.113228015565,25.7650000000001,5791.248244714739,2035.864436740743,2784.6939822962954,weekly
2025-08-11,47742.85617216155,0.0,745.4825451638334,48488.33871732538,109.54476216666706,7788.068779548265,2784.6939822962954,2174.8997715555556,weekly
2025-08-12,46747.65392403803,0.0,7125.220959001057,53872.87488303908,1033.5461945533657,3566.035414441792,2174.8997715555556,2261.6248698435747,weekly
2025-08-13,49229.0976900173,0.0,1242.04470074875,50471.14239076605,184.26303983333352,8724.402234766638,2261.6248698435747,2454.1424832222215,weekly
2025-08-14,49441.618990395495,0.0,941.35626475675,50382.97525515225,136.8991911666667,9485.652437916058,2454.1424832222215,2166.1201766388876,weekly
2025-08-15,23932.38191962973,0.0,3.991402763858787e-13,23932.38191962973,8.526512829121202e-14,20717.328068595845,2166.1201766388876,2310.6859896703763,weekly
2025-08-16,23868.42972710226,0.0,2.6042812351079193e-13,23868.42972710226,5.684341886080802e-14,21091.598918648153,2310.6859896703763,2287.93440377963,weekly
2025-08-17,48250.056255824034,0.0,1297.4788425310624,49547.535098355096,192.5703268104121,10080.19157289887,2287.93440377963,2278.02315060789,weekly
2025-08-18,48102.12083774811,0.0,978.1107429672521,49080.231580715365,144.35864316666704,8011.920180574361,2278.02315060789,2565.2489001789727,weekly
2025-08-19,48426.08874797499,0.0,366.94481341783614,48793.033561392826,54.353551833333995,8940.185636058108,2565.2489001789727,2242.721181925927,weekly
2025-08-20,47653.049962656565,0.0,3540.994726922585,51194.044689579154,639.1132900243975,1199.7688194838474,2242.721181925927,1739.4701476666662,weekly
2025-08-21,50573.683287475455,0.0,87.13893999999998,50660.82222747545,12.920000000000073,9576.960272083797,1739.4701476666662,2504.528740074071,weekly
2025-08-22,24108.05899298573,0.0,1302.3522183172634,25410.411211302995,186.6903982679563,18011.91056667127,2504.528740074071,1874.4789558148148,weekly
2025-08-23,24477.137270434047,0.0,0.0,24477.137270434047,0.0,16262.998707661805,1874.4789558148148,2164.435310020587,weekly
2025-08-24,49354.64466703156,0.0,210.36414000000124,49565.00880703156,31.206666666667047,9951.351945855691,2164.435310020587,2508.580561399454,weekly
2025-08-25,49045.09606348298,0.0,2626.6637165276397,51671.75978001062,380.22888593195364,3457.631691492208,2508.580561399454,1978.1800404444443,weekly
2025-08-26,50594.0936873209,0.0,111.49614943166819,50705.589836752566,16.040310000000545,9923.050227276442,1978.1800404444443,2817.0386624982557,weekly
2025-08-27,48975.6197635937,0.0,405.9287011916665,49381.54846478537,58.56786666666679,6172.374745061736,2817.0386624982557,1982.1986469662709,weekly
2025-08-28,49873.377847697346,0.0,862.5531935433144,50735.93104124066,127.94120866967386,4314.631757480627,1982.1986469662709,1794.07597371406,weekly
2025-08-29,25385.334532934707,0.0,7.184155492723221e-13,25385.334532934707,1.4210854715202004e-13,17168.72883098176,1794.07597371406,2327.007823690058,weekly
2025-08-30,24853.79775795665,0.0,5.571791916736401e-13,24853.79775795665,1.1368683772161603e-13,21308.12993183767,2327.007823690058,1998.294446352164,weekly
2025-08-31,50842.972670462026,0.0,167.98134169166642,51010.95401215369,24.86218333333352,8359.417389500002,1998.294446352164,2581.686953037036,weekly
2025-09-01,50352.520564771,0.0,3.9096903492463753e-13,50352.520564771,1.7053025658242404e-13,18053.944747175345,2581.686953037036,6248.621419888888,weekly
2025-09-02,48186.2105397115,0.0,2.432329893053975e-13,48186.2105397115,1.1368683772161603e-13,17660.031426872432,6248.621419888888,5806.81375859259,weekly
2025-09-03,47762.95278217685,0.0,4.86465978610795e-13,47762.95278217685,2.2737367544323206e-13,15381.083295467215,5806.81375859259,6008.990518222222,weekly
2025-09-04,48295.91249767478,0.0,4.997104952053633e-13,48295.91249767478,1.1368683772161603e-13,17829.898850848112,6008.990518222222,5772.129275259257,weekly
2025-09-05,23316.95347029786,0.0,0.0,23316.95347029786,0.0,28104.71431418487,5772.129275259257,5970.377835296295,weekly
2025-09-06,22946.872783165338,0.0,3.5700509215530474e-13,22946.872783165338,5.684341886080802e-14,26276.392178823706,5970.377835296295,6524.595625481476,weekly
2025-09-07,45156.970148379754,0.0,9.538325684843586e-13,45156.970148379754,3.410605131648481e-13,12094.203871056367,6524.595625481476,5155.481942296296,weekly
2025-09-08,33016.18688279437,0.0,31880.262781227342,64896.44966402171,5165.594820972766,21.5080152924401,5155.481942296296,1200.000001,ridge
2025-09-09,36876.56910376332,0.0,13863.322556242798,50739.89166000612,2462.024954467096,6169.06194159782,1200.000001,1200.000001,ridge
2025-09-10,41315.60623315036,0.0,1491.4617731397298,42807.068006290094,300.58058789983244,705.0048659835413,1200.000001,1385.0257328518512,weekly
2025-09-11,42370.27491348762,0.0,1.871626409410965e-12,42370.27491348762,5.115907697472721e-13,10658.240293830295,1385.0257328518512,1869.0501293333355,weekly
2025-09-12,18537.14225327204,0.0,1.6711959046440336e-14,18537.14225327204,5.855626855795493e-15,18207.321808310702,1869.0501293333355,2187.017403777777,weekly
